Player,Overall_K,Overall_D,Overall_KD,Overall_+/-,Overall_M,SnD_K,SnD_D,SnD_KD,SnD_+/-,SnD_K/M,SnD_FK,SnD_M,Hardpoint_K,Hardpoint_D,Hardpoint_KD,Hardpoint_+/-,Hardpoint_K/M,Hardpoint_TM,Hardpoint_M,Control_K,Control_D,Control_KD,Control_+/-,Control_K/M,Control_CP,Control_M
Neptune,459,418,1.098,41,20,46,39,1.180,7,7.7,8,6,264,243,1.086,21,29.3,576,9,149,136,1.096,13,29.8,15,5
04,424,420,1.010,4,20,38,40,0.950,-2,6.3,7,6,253,238,1.063,15,28.1,607,9,133,142,0.937,-9,26.6,11,5
JoeDeceives,399,346,1.153,53,19,37,43,0.861,-6,6.2,7,6,212,171,1.240,41,30.3,540,7,150,132,1.136,18,25.0,31,6
Abuzah,390,409,0.954,-19,20,35,36,0.972,-1,5.8,10,6,239,252,0.948,-13,26.6,475,9,116,121,0.959,-5,23.2,26,5
Nastie,389,357,1.090,32,20,34,37,0.919,-3,5.7,4,6,240,211,1.137,29,26.7,786,9,115,109,1.055,6,23.0,26,5
CleanX,381,368,1.035,13,19,47,45,1.044,2,7.8,10,6,197,188,1.048,9,28.1,401,7,137,135,1.015,2,22.8,14,6
Scrap,356,326,1.092,30,17,42,33,1.273,9,8.4,7,5,189,195,0.969,-6,27.0,479,7,125,98,1.276,27,25.0,28,5
Beans,355,325,1.092,30,19,51,37,1.378,14,8.5,4,6,183,170,1.077,13,26.1,566,7,121,118,1.025,3,20.2,19,6
HyDra,355,336,1.057,19,17,37,34,1.088,3,7.4,7,5,193,195,0.990,-2,27.6,289,7,125,107,1.168,18,25.0,8,5
Cellium,324,250,1.296,74,16,36,25,1.440,11,7.2,3,5,194,163,1.190,31,27.7,383,7,94,62,1.516,32,23.5,11,4
Envoy,323,352,0.918,-29,17,36,37,0.973,-1,7.2,2,5,174,197,0.883,-23,24.9,580,7,113,118,0.958,-5,22.6,26,5
Simp,319,300,1.063,19,16,31,27,1.148,4,6.2,6,5,196,184,1.065,12,28.0,528,7,92,89,1.034,3,23.0,8,4
Insight,315,315,1.000,0,19,32,39,0.821,-7,5.3,6,6,155,164,0.945,-9,22.1,390,7,128,112,1.143,16,21.3,24,6
Drazah,310,280,1.107,30,16,27,27,1.000,0,5.4,6,5,200,180,1.111,20,28.6,524,7,83,73,1.137,10,20.8,22,4
Ghosty,294,303,0.970,-9,17,30,32,0.938,-2,6.0,4,5,185,169,1.095,16,26.4,568,7,79,102,0.775,-23,15.8,21,5
aBeZy,289,307,0.941,-18,16,42,26,1.615,16,8.4,11,5,170,192,0.885,-22,24.3,431,7,77,89,0.865,-12,19.3,21,4
Snoopy,244,244,1.000,0,11,22,20,1.100,2,7.3,1,3,165,153,1.078,12,33.0,342,5,57,71,0.803,-14,19.0,11,3
Cammy,240,249,0.964,-9,11,18,20,0.900,-2,6.0,2,3,155,159,0.975,-4,31.0,331,5,67,70,0.957,-3,22.3,7,3
Owakening,228,241,0.946,-13,11,16,21,0.762,-5,5.3,4,3,154,152,1.013,2,30.8,339,5,58,68,0.853,-10,19.3,8,3
Purj,218,258,0.845,-40,11,20,21,0.952,-1,6.7,6,3,151,172,0.878,-21,30.2,437,5,47,65,0.723,-18,15.7,13,3
Kremp,215,197,1.091,18,10,22,23,0.957,-1,7.3,5,3,103,112,0.920,-9,25.8,171,4,90,62,1.452,28,30.0,10,3
Sib,202,204,0.990,-2,10,25,23,1.087,2,8.3,7,3,104,105,0.991,-1,26.0,241,4,73,76,0.961,-3,24.3,10,3
Mack,199,211,0.943,-12,10,21,20,1.050,1,7.0,3,3,102,120,0.850,-18,25.5,196,4,76,71,1.070,5,25.3,9,3
TJHaLy,172,183,0.940,-11,9,18,20,0.900,-2,6.0,5,3,82,82,1.000,0,27.3,104,3,72,81,0.889,-9,24.0,12,3
Attach,161,188,0.856,-27,10,18,22,0.818,-4,6.0,2,3,81,104,0.779,-23,20.3,313,4,62,62,1.000,0,20.7,5,3
Gwinn,154,156,0.987,-2,9,15,17,0.882,-2,5.0,4,3,67,78,0.859,-11,22.3,60,3,72,61,1.180,11,24.0,10,3
Vivid,146,170,0.859,-24,9,9,18,0.500,-9,3.0,1,3,67,83,0.807,-16,22.3,87,3,70,69,1.015,1,23.3,12,3
SlasheR,145,148,0.980,-3,9,15,19,0.790,-4,5.0,2,3,73,66,1.106,7,24.3,76,3,57,63,0.905,-6,19.0,13,3
Gio,120,98,1.225,22,6,6,14,0.429,-8,3.0,1,2,81,54,1.500,27,40.5,105,2,33,30,1.100,3,16.5,0,2
ReeaL,117,89,1.315,28,4,12,6,2.000,6,12.0,4,1,76,60,1.267,16,38.0,75,2,29,23,1.261,6,29.0,2,1
Pred,116,107,1.084,9,6,11,10,1.100,1,5.5,2,2,61,57,1.070,4,30.5,39,2,44,40,1.100,4,22.0,0,2
Dashy,108,96,1.125,12,6,8,10,0.800,-2,4.0,3,2,59,50,1.180,9,29.5,136,2,41,36,1.139,5,20.5,6,2
Shotzzy,107,100,1.070,7,6,20,9,2.222,11,10.0,3,2,44,53,0.830,-9,22.0,92,2,43,38,1.132,5,21.5,8,2
Estreal,106,116,0.914,-10,6,12,12,1.000,0,6.0,2,2,64,63,1.016,1,32.0,100,2,30,41,0.732,-11,15.0,0,2
MettalZ,97,94,1.032,3,4,2,8,0.250,-6,2.0,1,1,64,53,1.208,11,32.0,192,2,31,33,0.939,-2,31.0,0,1
RenKoR,96,84,1.143,12,4,8,8,1.000,0,8.0,0,1,61,50,1.220,11,30.5,119,2,27,26,1.039,1,27.0,5,1
Skyz,86,113,0.761,-27,6,7,12,0.583,-5,3.5,1,2,35,61,0.574,-26,17.5,154,2,44,40,1.100,4,22.0,11,2
Nero,80,114,0.702,-34,6,7,13,0.539,-6,3.5,1,2,54,61,0.885,-7,27.0,143,2,19,40,0.475,-21,9.5,1,2
Lucky,68,92,0.739,-24,4,7,9,0.778,-2,7.0,2,1,42,59,0.712,-17,21.0,140,2,19,24,0.792,-5,19.0,3,1
PaulEhx,66,114,0.579,-48,6,10,14,0.714,-4,5.0,3,2,39,61,0.639,-22,19.5,120,2,17,39,0.436,-22,8.5,0,2
KiSMET,47,56,0.839,-9,3,7,8,0.875,-1,7.0,2,1,23,26,0.885,-3,23.0,40,1,17,22,0.773,-5,17.0,2,1
Lunarz,47,57,0.825,-10,3,10,7,1.429,3,10.0,0,1,24,30,0.800,-6,24.0,10,1,13,20,0.650,-7,13.0,4,1
Exnid,44,53,0.830,-9,3,7,6,1.167,1,7.0,1,1,23,24,0.958,-1,23.0,,1,14,23,0.609,-9,14.0,0,1
KiinG,43,49,0.878,-6,3,5,7,0.714,-2,5.0,1,1,21,23,0.913,-2,21.0,,1,17,19,0.895,-2,17.0,0,1
Lynz,39,51,0.765,-12,3,7,8,0.875,-1,7.0,3,1,18,26,0.692,-8,18.0,42,1,14,17,0.824,-3,14.0,2,1
d7oom,37,49,0.755,-12,3,3,7,0.429,-4,3.0,0,1,14,21,0.667,-7,14.0,,1,20,21,0.952,-1,20.0,0,1
Priestahh,35,56,0.625,-21,3,8,9,0.889,-1,8.0,2,1,15,28,0.536,-13,15.0,16,1,12,19,0.632,-7,12.0,1,1
WXSL,33,52,0.635,-19,3,7,6,1.167,1,7.0,1,1,13,24,0.542,-11,13.0,,1,13,22,0.591,-9,13.0,0,1
